,count,mean,std,min,max
insured,12469.0,0.891,0.312,0.0,1.0
private_ins,12469.0,0.677,0.468,0.0,1.0
health_score,12469.0,3.61,1.01,1.0,5.0
poor_health,12469.0,0.129,0.335,0.0,1.0
age,12469.0,42.379,13.495,18.0,64.0
age_sq,12469.0,1978.099,1137.207,324.0,4096.0
female,12469.0,0.53,0.499,0.0,1.0
income_cat,12469.0,3.763,1.406,1.0,5.0
educ_years,12469.0,13.413,2.92,0.0,17.0
hispanic,12469.0,0.232,0.422,0.0,1.0
black,12469.0,0.147,0.354,0.0,1.0
asian,12469.0,0.066,0.249,0.0,1.0
married,12469.0,0.474,0.499,0.0,1.0
employed,12469.0,0.721,0.449,0.0,1.0
region,12469.0,2.756,1.004,1.0,4.0
